"","symbol","date","open","high","low","close","volume","adjusted"
"103","GC=F",2020-05-29,1718.800049,1738.300049,1715.099976,1736.900024,1526,1736.900024
"104","GC=F",2020-06-01,1740.400024,1747,1727.099976,1737.800049,871,1737.800049
"105","GC=F",2020-06-02,1743,1745.5,1721.800049,1725.199951,741,1725.199951
"106","GC=F",2020-06-03,1726.300049,1726.300049,1684.5,1697.800049,2755,1697.800049
"107","GC=F",2020-06-04,1694.5,1718.900024,1694.5,1718.900024,807,1718.900024
"108","GC=F",2020-06-05,1711.800049,1711.800049,1668.599976,1676.199951,1502,1676.199951
"109","GC=F",2020-06-08,1679.099976,1699.400024,1675.900024,1698.300049,587,1698.300049
"110","GC=F",2020-06-09,1694.599976,1720.900024,1692,1714.699951,690,1714.699951
"111","GC=F",2020-06-10,1716.099976,1740.800049,1711.900024,1713.300049,718,1713.300049
"112","GC=F",2020-06-11,1737.199951,1744.099976,1720,1732,347,1732
"113","GC=F",2020-06-12,1724.900024,1743,1724.900024,1729.300049,318,1729.300049
"114","GC=F",2020-06-15,1730,1730,1703.300049,1720.300049,188,1720.300049
"115","GC=F",2020-06-16,1726.300049,1729.599976,1722.400024,1729.599976,22,1729.599976
"116","GC=F",2020-06-17,1714.699951,1729.199951,1714.699951,1729.199951,51,1729.199951
"117","GC=F",2020-06-18,1730.5,1734.099976,1717.300049,1724.800049,110,1724.800049
"118","GC=F",2020-06-19,1723.699951,1750.699951,1723.5,1745.900024,1329,1745.900024
"119","GC=F",2020-06-22,1755.199951,1767.599976,1750.5,1756.699951,1356,1756.699951
"120","GC=F",2020-06-23,1755.400024,1776.300049,1754.199951,1772.099976,666,1772.099976
"121","GC=F",2020-06-24,1778.300049,1783.099976,1764.5,1765.800049,961,1765.800049
"122","GC=F",2020-06-25,1761.699951,1764.800049,1759.800049,1762.099976,207,1762.099976
"123","GC=F",2020-06-26,1766,1772.5,1764.699951,1772.5,640,1772.5
"124","GC=F",2020-06-29,1779.800049,1780.199951,1774.300049,1774.800049,584,1774.800049
"125","GC=F",2020-06-30,1777.300049,1793.199951,1774.400024,1793,986,1793
"126","GC=F",2020-07-01,1793.599976,1798,1765.800049,1773.199951,331,1773.199951
"127","GC=F",2020-07-02,1773.400024,1784,1768.699951,1784,215,1784
"128","GC=F",2020-07-06,1788.199951,1790.099976,1788.199951,1788.5,172,1788.5
"129","GC=F",2020-07-07,1789.300049,1804.199951,1783.300049,1804.199951,751,1804.199951
"130","GC=F",2020-07-08,1801.5,1817.900024,1801.5,1815.5,209,1815.5
"131","GC=F",2020-07-09,1816.099976,1819.800049,1799.199951,1799.199951,396,1799.199951
"132","GC=F",2020-07-10,1805.5,1805.5,1797.699951,1798.199951,236,1798.199951
"133","GC=F",2020-07-13,1805,1811,1805,1811,164,1811
"134","GC=F",2020-07-14,1791,1811.5,1791,1810.599976,339,1810.599976
"135","GC=F",2020-07-15,1806.099976,1813.5,1806.099976,1811.400024,167,1811.400024
"136","GC=F",2020-07-16,1810.900024,1810.900024,1794.300049,1798.699951,146,1798.699951
"137","GC=F",2020-07-17,1798.5,1810.099976,1798.5,1808.300049,24,1808.300049
"138","GC=F",2020-07-20,1807,1817.300049,1807,1815.900024,89,1815.900024
"139","GC=F",2020-07-21,1822,1842.400024,1822,1842.400024,117,1842.400024
"140","GC=F",2020-07-22,1858.099976,1867,1854.699951,1864.099976,213,1864.099976
"141","GC=F",2020-07-23,1868.699951,1890.300049,1868.5,1889.099976,133,1889.099976
"142","GC=F",2020-07-24,1884.300049,1897.300049,1884.300049,1897.300049,474,1897.300049
"143","GC=F",2020-07-27,1901.699951,1938,1901.5,1931,364,1931
"144","GC=F",2020-07-28,1931.5,1944.699951,1928.599976,1944.699951,825,1944.699951
"145","GC=F",2020-07-29,1953.199951,1953.5,1952.599976,1953.5,209835,1953.5
"146","GC=F",2020-07-30,1963.400024,1965.099976,1930,1942.300049,28853,1942.300049
"147","GC=F",2020-07-31,1948.599976,1981.099976,1948,1962.800049,2914,1962.800049
"148","GC=F",2020-08-03,1984.300049,1984.300049,1955.5,1966,683,1966
"149","GC=F",2020-08-04,1971,2016.199951,1968.800049,2001.199951,2010,2001.199951
"150","GC=F",2020-08-05,2024,2050.199951,2011,2031.099976,1422,2031.099976
"151","GC=F",2020-08-06,2045.5,2063,2040,2051.5,294,2051.5
"152","GC=F",2020-08-07,2040.099976,2055,2009.599976,2010.099976,808,2010.099976
"153","GC=F",2020-08-10,2026.400024,2043.800049,2017.5,2024.400024,233,2024.400024
"154","GC=F",2020-08-11,2012.400024,2016,1904,1932.599976,971,1932.599976
"155","GC=F",2020-08-12,1923,1946.599976,1871.599976,1934.900024,404,1934.900024
"156","GC=F",2020-08-13,1921.5,1957.400024,1916.900024,1956.699951,71,1956.699951
"157","GC=F",2020-08-14,1938.699951,1947.400024,1937,1937,201,1937
"158","GC=F",2020-08-17,1949.599976,1985,1949.599976,1985,97,1985
"159","GC=F",2020-08-18,2001.099976,2002.800049,1972.099976,1999.400024,92,1999.400024
"160","GC=F",2020-08-19,1980,1980,1938.699951,1958.699951,347,1958.699951
"161","GC=F",2020-08-20,1941.199951,1948.300049,1922.300049,1933.800049,106,1933.800049
"162","GC=F",2020-08-21,1941,1945,1908.900024,1934.599976,184,1934.599976
"163","GC=F",2020-08-24,1930.199951,1940,1922.199951,1927.699951,85,1927.699951
"164","GC=F",2020-08-25,1927.5,1928.5,1911.800049,1911.800049,176,1911.800049
"165","GC=F",2020-08-26,1909.699951,1950.800049,1909.699951,1940.699951,287,1940.699951
"166","GC=F",2020-08-27,1948.900024,1972.5,1921.599976,1921.599976,2303,1921.599976
"167","GC=F",2020-08-28,1927.099976,1971.300049,1922.5,1964.599976,778,1964.599976
"168","GC=F",2020-08-31,1970,1971.300049,1953.300049,1967.599976,158,1967.599976
"169","GC=F",2020-09-01,1961.699951,1986.300049,1961.699951,1968.199951,186,1968.199951
"170","GC=F",2020-09-02,1967.300049,1967.300049,1934.400024,1934.400024,71,1934.400024
"171","GC=F",2020-09-03,1937.099976,1938.800049,1923,1927.599976,179,1927.599976
"172","GC=F",2020-09-04,1927.900024,1939.699951,1917.699951,1923.900024,607,1923.900024
"173","GC=F",2020-09-08,1930.900024,1937.900024,1903.099976,1933,271,1933
"174","GC=F",2020-09-09,1926.900024,1946.199951,1924.599976,1944.699951,219,1944.699951
"175","GC=F",2020-09-10,1944.099976,1962.699951,1944.099976,1954.199951,722,1954.199951
"176","GC=F",2020-09-11,1944,1949.5,1937.800049,1937.800049,73,1937.800049
"177","GC=F",2020-09-14,1946.300049,1953.099976,1943,1953.099976,55,1953.099976
"178","GC=F",2020-09-15,1955.800049,1968.5,1955.800049,1956.300049,74,1956.300049
"179","GC=F",2020-09-16,1961.300049,1961.400024,1956.699951,1960.199951,124,1960.199951
"180","GC=F",2020-09-17,1939,1946,1933.699951,1940,67,1940
"181","GC=F",2020-09-18,1950.5,1952.099976,1949,1952.099976,38,1952.099976
"182","GC=F",2020-09-21,1946.199951,1946.199951,1883.400024,1901.199951,52,1901.199951
"183","GC=F",2020-09-22,1913.099976,1913.099976,1898.599976,1898.599976,331,1898.599976
"184","GC=F",2020-09-23,1875.5,1875.5,1859.900024,1859.900024,5,1859.900024
"185","GC=F",2020-09-24,1851.5,1868.300049,1851.5,1868.300049,365,1868.300049
"186","GC=F",2020-09-25,1856.300049,1857.699951,1856.300049,1857.699951,4,1857.699951
"187","GC=F",2020-09-28,1872.800049,1872.800049,1872.800049,1872.800049,10455,1872.800049
"188","GC=F",2020-09-29,1876.5,1895.400024,1872.400024,1894.300049,3283,1894.300049
"189","GC=F",2020-09-30,1893,1899.699951,1879.800049,1887.5,600,1887.5
"190","GC=F",2020-10-01,1884.099976,1909.599976,1882.5,1908.400024,730,1908.400024
"191","GC=F",2020-10-02,1893.900024,1913,1893.900024,1900.199951,530,1900.199951
"192","GC=F",2020-10-05,1898.900024,1915.599976,1884.699951,1912.5,1360,1912.5
"193","GC=F",2020-10-06,1906.599976,1918,1874.400024,1901.099976,968,1901.099976
"194","GC=F",2020-10-07,1874.099976,1889.800049,1873.099976,1883.599976,50,1883.599976
"195","GC=F",2020-10-08,1893,1893,1882.699951,1888.599976,348,1888.599976
"196","GC=F",2020-10-09,1909.300049,1929.099976,1905.099976,1919.5,580,1919.5
"197","GC=F",2020-10-12,1924,1926.5,1921.599976,1922.5,96,1922.5
"198","GC=F",2020-10-13,1921.900024,1922.199951,1887,1888.5,191,1888.5
"199","GC=F",2020-10-14,1889.699951,1910.800049,1882.5,1901.300049,33,1901.300049
"200","GC=F",2020-10-15,1897.300049,1906.300049,1889.599976,1903.199951,254,1903.199951
"201","GC=F",2020-10-16,1898.5,1900.800049,1898.5,1900.800049,53,1900.800049
"202","GC=F",2020-10-19,1907.300049,1907.800049,1899.5,1906.400024,43,1906.400024
"203","GC=F",2020-10-20,1901.300049,1910.400024,1896.099976,1910.400024,329,1910.400024
"204","GC=F",2020-10-21,1913.599976,1927.300049,1913.599976,1924.599976,1202,1924.599976
"205","GC=F",2020-10-22,1924.300049,1924.300049,1898.199951,1901.099976,899,1901.099976
"206","GC=F",2020-10-23,1899.900024,1913.300049,1896.199951,1902,287,1902
"207","GC=F",2020-10-26,1895.5,1907,1893.5,1902.699951,242,1902.699951
"208","GC=F",2020-10-27,1904.599976,1908.800049,1904.400024,1908.800049,176,1908.800049
"209","GC=F",2020-10-28,1870.900024,1876.199951,1870.900024,1876.199951,277,1876.199951
"210","GC=F",2020-10-29,1876.099976,1879.800049,1858.800049,1865.599976,240,1865.599976
"211","GC=F",2020-10-30,1862.800049,1886.599976,1862.800049,1877.400024,725,1877.400024
"212","GC=F",2020-11-02,1872.900024,1894.699951,1872.900024,1890.400024,190,1890.400024
"213","GC=F",2020-11-03,1891.5,1908.5,1891.5,1908.5,712,1908.5
"214","GC=F",2020-11-04,1893.800049,1907,1885.300049,1894.599976,782,1894.599976
"215","GC=F",2020-11-05,1901.699951,1948,1901.699951,1945.300049,135,1945.300049
"216","GC=F",2020-11-06,1940.800049,1958.800049,1940.800049,1950.300049,304,1950.300049
"217","GC=F",2020-11-09,1955.599976,1963.199951,1847.099976,1853.199951,745,1853.199951
"218","GC=F",2020-11-10,1879.300049,1885.300049,1871.199951,1875.400024,276,1875.400024
"219","GC=F",2020-11-11,1878.800049,1878.800049,1855.5,1860.699951,222,1860.699951
"220","GC=F",2020-11-12,1869,1878.5,1866.599976,1872.599976,220,1872.599976
"221","GC=F",2020-11-13,1877,1890.099976,1876.800049,1885.699951,240,1885.699951
"222","GC=F",2020-11-16,1874.599976,1887.300049,1871,1887.300049,6,1887.300049
"223","GC=F",2020-11-17,1888.400024,1888.400024,1884.5,1884.5,59,1884.5
"224","GC=F",2020-11-18,1873.5,1873.5,1873.5,1873.5,152,1873.5
"225","GC=F",2020-11-19,1865.800049,1865.800049,1856,1861.099976,59,1861.099976
"226","GC=F",2020-11-20,1871.199951,1872.599976,1871.199951,1872.599976,1900,1872.599976
"227","GC=F",2020-11-23,1834.800049,1837.800049,1829.199951,1837.800049,843,1837.800049
"228","GC=F",2020-11-24,1829.300049,1829.300049,1799.300049,1804.800049,1041,1804.800049
"229","GC=F",2020-11-25,1801.400024,1805.699951,1801.400024,1805.699951,205754,1805.699951
"230","GC=F",2020-11-27,1806.099976,1817,1770.699951,1781.900024,71804,1781.900024
"231","GC=F",2020-11-30,1785,1787.199951,1762.300049,1775.699951,3145,1775.699951
"232","GC=F",2020-12-01,1775,1815.900024,1774.900024,1814.099976,1859,1814.099976
"233","GC=F",2020-12-02,1811.300049,1830,1807.800049,1825.699951,771,1825.699951
"234","GC=F",2020-12-03,1829.199951,1842,1825.300049,1836.800049,1765,1836.800049
"235","GC=F",2020-12-04,1840.699951,1847.599976,1828.199951,1835.900024,1213,1835.900024
"236","GC=F",2020-12-07,1836.5,1866.900024,1820.800049,1861.800049,1427,1861.800049
"237","GC=F",2020-12-08,1863,1875.800049,1861.800049,1870.800049,121,1870.800049
"238","GC=F",2020-12-09,1867.099976,1867.099976,1827,1834.599976,215,1834.599976
"239","GC=F",2020-12-10,1833.199951,1849.099976,1828,1833.599976,177,1833.599976
"240","GC=F",2020-12-11,1838.5,1846,1829.099976,1839.800049,109,1839.800049
"241","GC=F",2020-12-14,1835.5,1835.699951,1822.699951,1828.699951,258,1828.699951
"242","GC=F",2020-12-15,1833.5,1853.599976,1833.199951,1852.300049,961,1852.300049
"243","GC=F",2020-12-16,1856.5,1864.699951,1850.5,1856.099976,1090,1856.099976
"244","GC=F",2020-12-17,1874.199951,1896.199951,1874.199951,1887.199951,414,1887.199951
"245","GC=F",2020-12-18,1882.400024,1889.5,1882.300049,1885.699951,276,1885.699951
"246","GC=F",2020-12-21,1884.800049,1908,1869.099976,1879.199951,136,1879.199951
"247","GC=F",2020-12-22,1882.199951,1882.199951,1861,1866.599976,233,1866.599976
"248","GC=F",2020-12-23,1867,1878.800049,1864.5,1874.699951,82,1874.699951
"249","GC=F",2020-12-24,1877.300049,1879.900024,1875.699951,1879.900024,46,1879.900024
"250","GC=F",2020-12-28,1895.5,1895.800049,1873.699951,1877.199951,75,1877.199951
"251","GC=F",2020-12-29,1881.300049,1881.300049,1879.699951,1879.699951,343,1879.699951
